Node1,Node2,Weight
11,14,62
15,16,24
72,75,50
92,96,9
1,2,46
51,57,15
50,53,52
47,48,7
7,8,48
31,36,51
67,68,74
9,12,12
27,29,54
84,92,75
21,22,91
7,9,51
89,92,93
44,47,29
66,69,18
34,37,98
73,76,2
91,95,54
38,41,12
5,7,54
81,85,83
28,30,76
40,42,26
13,15,17
12,13,97
76,77,22
94,97,94
56,57,74
3,5,48
74,78,57
32,34,64
83,91,53
98,99,17
54,55,43
62,64,88
4,6,80
56,59,64
68,71,76
55,61,38
68,69,98
18,19,21
59,63,51
21,23,36
58,61,90
36,37,72
43,48,98
85,87,1
53,55,0
93,96,93
40,41,100
57,59,25
56,58,21
11,13,70
36,38,77
16,18,94
93,94,100
93,98,88
62,63,67
84,87,42
67,69,27
47,50,30
86,90,17
21,24,54
24,25,28
35,37,45
78,81,17
78,82,7
81,82,58
36,39,56
56,61,31
87,90,61
32,33,35
4,5,96
92,95,67
18,20,29
42,43,13
28,29,67
96,98,46
77,80,73
2,4,67
17,18,5
71,72,44
80,82,56
39,42,9
62,65,74
65,68,93
79,81,14
77,83,96
38,39,75
8,12,42
83,85,65
43,45,48
66,67,79
76,80,22
7,12,5
61,62,3
83,86,84
41,47,80
89,91,25
8,9,44
80,81,44
45,50,59
20,21,67
81,83,23
56,60,7
26,27,86
9,14,87
5,8,49
75,77,30
46,47,95
1,3,89
80,83,9
63,68,10
22,23,57
9,10,44
77,78,20
89,90,54
