Node1,Node2,Weight
70,95,11
92,97,14
74,77,0
130,140,35
129,148,9
79,87,86
99,103,28
92,99,33
46,60,76
124,129,23
70,92,78
62,84,79
127,132,57
65,75,41
94,121,87
36,54,98
87,111,3
45,63,56
101,105,65
111,124,9
103,114,7
92,98,42
28,40,48
128,140,66
99,106,46
83,86,20
99,113,66
122,133,99
110,116,34
84,85,84
108,112,81
43,49,0
70,84,0
101,104,0
133,139,31
127,131,28
83,93,85
112,128,62
65,80,91
26,43,30
135,140,24
30,41,42
81,90,50
43,62,16
71,95,14
114,137,96
60,68,35
116,126,99
71,88,26
23,33,33
80,93,66
136,146,96
17,28,52
8,10,56
12,44,66
82,100,37
95,105,99
23,37,23
18,39,16
54,67,26
58,68,30
66,74,63
101,143,77
60,66,75
54,73,2
94,100,15
77,78,87
83,97,7
93,102,42
72,89,52
119,131,73
81,96,2
57,67,56
119,137,36
57,63,56
108,126,55
11,19,84
25,28,9
107,108,73
88,113,44
125,134,25
35,54,36
42,46,79
120,124,62
38,46,94
112,114,5
7,18,62
37,48,55
25,30,5
109,114,85
18,31,89
6,19,86
5,19,38
24,38,45
89,92,94
57,58,93
135,144,93
63,64,48
10,13,59
114,129,77
120,146,27
123,130,88
101,102,14
69,75,3
91,104,87
63,75,71
101,113,42
29,66,16
93,116,20
80,97,23
29,38,40
70,83,78
24,28,23
81,93,84
83,84,15
63,85,39
68,81,32
19,26,2
99,116,29
134,144,85
41,56,61
76,77,39
120,144,69
15,26,91
66,68,86
42,54,56
2,27,58
106,112,89
20,32,34
77,90,62
135,136,58
142,146,12
107,115,69
46,62,19
119,124,49
120,128,91
93,111,9
61,63,82
111,117,58
53,54,51
10,18,70
0,7,11
63,70,87
80,84,64
74,81,80
91,95,25
125,128,20
130,141,38
129,134,41
100,122,93
5,9,52
63,71,81
121,128,11
29,51,48
93,100,11
53,72,91
99,107,100
42,52,59
127,138,22
104,120,73
58,64,84
100,105,13
51,53,50
6,30,86
0,19,22
93,98,55
48,68,15
134,139,52
68,77,86
136,138,16
119,126,93
80,109,22
