Node1,Node2,Weight
92,93,25
75,76,88
139,140,67
115,116,9
64,65,2
131,133,99
147,148,69
89,90,35
144,146,70
66,68,1
69,72,19
98,100,96
36,37,60
5,7,92
56,60,91
79,80,68
95,97,97
70,73,12
37,38,67
103,104,12
75,77,26
16,17,66
33,34,36
41,43,86
112,113,18
114,116,84
147,149,8
24,25,76
80,81,53
54,55,57
30,31,41
91,93,26
43,45,53
87,88,97
77,78,60
10,12,40
137,138,1
139,141,3
122,123,86
144,145,30
126,127,63
49,51,97
109,110,44
115,117,8
42,43,5
13,16,94
66,67,7
45,46,50
102,103,92
96,98,11
90,91,16
32,33,15
127,128,50
96,97,0
53,54,26
99,100,71
44,46,95
108,109,11
50,51,81
59,61,17
105,106,48
34,36,37
141,143,2
11,12,44
65,66,5
18,20,17
41,42,99
74,76,63
35,36,77
132,133,40
38,39,20
97,98,6
16,18,68
128,129,64
72,73,54
116,118,26
3,4,0
142,143,19
94,95,31
118,119,18
70,72,33
83,84,23
129,130,55
47,48,13
141,142,12
13,14,68
81,82,99
76,77,64
11,13,19
61,62,33
136,137,69
40,41,29
19,20,92
125,126,30
138,139,15
28,30,46
25,26,40
1,2,79
124,125,81
95,96,93
124,126,20
148,149,3
143,144,27
20,22,24
85,87,84
5,6,84
56,57,21
8,9,91
85,86,81
48,51,24
89,91,48
44,45,72
133,135,42
9,10,14
130,131,67
79,81,47
76,78,42
117,119,32
140,141,100
119,121,97
98,99,59
128,130,0
110,111,0
86,87,25
15,16,6
24,26,78
107,108,68
31,32,91
57,58,72
72,74,16
119,120,90
88,89,83
10,11,46
71,72,7
46,47,3
14,15,63
114,115,34
131,132,54
132,134,34
116,117,35
68,69,53
46,48,78
111,112,71
62,63,42
12,14,49
106,107,21
94,96,18
142,144,42
51,52,66
54,56,59
92,94,19
17,18,1
143,145,43
103,105,73
74,75,47
104,106,92
125,127,28
28,29,57
90,92,49
64,66,69
55,56,89
52,53,43
48,50,95
70,71,16
145,147,43
12,13,5
101,103,90
47,49,72
73,75,51
91,92,97
42,44,24
69,70,12
101,102,68
29,30,46
4,5,55
2,4,34
26,27,69
123,124,72
126,128,88
84,85,13
97,99,35
135,136,4
19,21,25
93,94,82
63,64,51
57,59,49
128,131,80
121,122,97
1,3,29
27,28,69
48,49,16
111,113,71
22,23,24
133,134,16
14,16,56
49,50,98
118,120,13
45,47,21
82,83,45
83,85,0
31,33,48
140,142,49
53,55,15
34,35,22
36,38,56
43,44,12
58,59,100
20,21,41
69,71,25
18,19,2
50,52,76
73,74,85
2,3,38
137,139,93
146,147,95
134,135,82
30,32,90
39,40,17
71,73,27
6,7,99
21,22,40
78,79,11
134,136,68
146,148,36
60,61,32
117,118,48
104,105,20
26,28,17
59,60,45
67,69,70
7,8,89
127,129,87
37,39,49
120,121,72
23,24,76
100,101,39
145,146,38
4,6,25
0,1,52
113,115,82
67,68,82
113,114,55
