Node1,Node2,Weight
15,22,23
163,172,74
88,89,37
119,139,86
146,154,48
27,33,76
195,197,93
115,119,32
77,78,34
144,149,88
22,24,5
149,158,46
140,146,96
132,144,14
149,150,98
145,149,21
60,61,90
160,171,13
96,111,60
129,130,20
101,112,22
120,127,38
160,161,92
53,62,97
122,127,89
123,131,21
64,66,93
86,91,10
136,137,22
174,183,10
87,98,0
50,51,54
99,100,63
26,32,80
127,132,78
114,117,99
38,47,96
105,109,57
117,119,69
175,177,80
118,125,71
148,151,57
2,11,3
137,139,2
44,68,90
184,191,75
147,151,47
41,48,43
40,46,63
63,66,89
104,107,21
79,85,32
68,70,49
60,68,8
25,36,75
171,179,65
18,20,64
178,183,21
51,56,93
102,108,46
192,193,59
45,48,10
68,72,52
70,75,13
34,36,82
140,149,90
12,26,4
124,129,71
50,53,95
49,52,83
85,90,67
171,181,48
97,100,12
188,190,56
78,91,43
153,165,83
167,173,49
177,185,7
149,156,98
111,114,46
116,119,60
170,175,54
114,121,91
34,48,2
7,8,97
12,20,74
192,196,69
105,113,89
124,128,67
126,133,60
166,168,34
102,109,72
27,34,2
155,169,43
75,77,62
93,98,10
59,65,28
31,32,82
31,40,40
4,13,98
190,195,10
186,188,73
11,18,28
85,95,13
27,41,98
93,103,96
9,21,52
17,23,78
36,37,33
58,71,37
143,152,8
109,120,7
92,105,3
190,196,50
78,84,48
188,193,73
43,44,29
139,144,9
183,185,17
144,158,93
19,26,12
103,109,81
159,176,44
10,23,96
113,116,26
187,196,84
60,64,11
126,129,2
85,97,88
72,75,38
49,59,87
132,133,25
125,146,21
100,101,7
114,131,91
70,72,72
37,48,22
109,110,21
2,14,22
148,163,97
154,157,80
136,144,87
48,52,75
47,54,63
42,47,3
68,80,82
127,129,98
39,44,28
126,127,56
185,188,59
119,129,91
144,153,53
91,104,6
86,98,94
37,43,23
150,165,96
147,149,54
166,172,15
142,145,61
34,37,9
129,137,71
181,183,36
153,155,88
93,96,48
73,78,72
19,25,5
73,74,56
31,33,51
61,71,94
41,50,7
98,109,0
