Node1,Node2,Weight
8,71,39
78,84,14
14,56,53
60,69,76
77,81,39
66,83,90
20,78,25
23,47,29
54,81,82
77,91,68
16,28,98
37,52,48
13,90,54
42,56,94
49,71,81
11,37,82
74,86,39
85,92,20
49,93,47
10,57,44
26,41,64
50,56,51
47,65,34
11,15,99
49,61,98
68,86,90
38,99,99
40,68,2
69,92,10
27,28,37
28,57,85
17,18,47
50,79,90
8,50,9
30,44,58
12,33,95
20,75,95
64,87,52
58,81,31
41,74,36
51,59,81
4,6,50
18,52,7
26,40,1
52,90,24
62,89,45
8,15,35
36,41,49
78,85,90
54,55,13
48,62,87
44,54,46
54,69,30
3,29,97
55,87,18
13,22,61
6,9,47
43,45,29
65,93,89
41,79,16
56,85,77
3,10,28
61,66,100
69,90,17
26,44,71
34,86,22
4,16,0
45,65,12
51,65,70
62,67,37
13,28,94
6,31,100
7,89,29
35,57,90
97,99,28
44,82,37
4,69,76
85,89,86
45,96,32
27,54,98
20,44,18
17,32,28
41,66,21
34,55,68
14,73,14
59,60,20
63,69,19
49,89,76
27,49,98
70,72,54
74,95,86
20,92,40
35,37,79
39,86,71
10,48,68
92,98,53
55,58,99
56,73,31
60,82,20
6,33,84
67,82,99
