Node1,Node2,Weight
51,72,36
48,82,58
24,75,99
43,55,66
45,62,41
17,81,99
80,90,0
47,92,52
8,21,49
63,90,59
43,68,55
42,74,52
62,83,70
0,18,68
69,71,95
23,44,70
45,80,11
86,96,18
18,57,29
52,80,33
64,93,61
28,58,88
59,78,25
12,28,49
19,43,95
50,57,27
50,65,66
27,35,69
0,1,5
7,18,6
59,65,1
2,46,17
34,93,43
49,60,66
37,83,97
39,83,77
27,47,59
59,98,85
5,94,96
81,91,4
19,64,99
22,47,79
38,84,60
61,69,21
68,95,38
63,68,23
30,45,84
14,25,34
58,82,45
70,72,99
39,59,37
9,32,88
40,65,88
48,68,23
21,60,20
92,97,68
23,26,57
71,85,74
39,52,96
65,92,21
39,41,24
13,29,76
74,79,5
21,24,45
50,94,27
2,36,92
3,12,24
71,74,0
77,96,64
31,79,1
58,90,59
39,71,20
2,12,31
0,25,94
13,37,4
68,94,6
48,51,20
20,27,64
27,41,40
67,78,50
40,46,21
83,88,56
4,12,70
75,87,63
87,98,45
57,59,85
18,90,50
88,98,85
38,60,27
61,80,72
58,95,65
36,86,23
11,34,91
24,76,29
47,57,94
39,55,33
87,91,4
30,56,2
78,90,49
14,43,5
58,94,72
32,74,15
61,71,47
66,84,46
65,75,62
8,24,25
19,31,24
17,34,91
80,81,97
67,77,36
42,60,17
73,93,19
62,73,11
44,70,27
71,92,44
35,38,75
32,41,23
64,72,65
40,78,9
37,72,99
53,71,57
37,45,34
4,6,14
32,44,69
28,55,13
35,71,19
2,33,37
13,62,77
31,42,75
46,80,11
6,59,74
20,43,80
80,87,0
27,31,51
9,33,90
22,37,41
84,89,17
7,29,57
52,92,40
53,88,22
36,50,1
16,51,76
39,42,36
25,32,88
49,68,43
51,80,32
92,98,4
14,20,76
26,29,96
41,82,49
33,67,8
36,84,86
10,54,5
71,80,37
19,52,60
51,70,98
52,89,35
59,82,76
14,17,21
80,92,72
72,82,11
36,55,18
16,47,70
76,88,85
51,60,14
78,88,50
22,35,31
76,86,2
48,55,23
37,52,59
7,17,61
10,35,96
28,56,80
4,13,14
28,78,38
28,69,18
65,84,34
65,98,45
15,21,51
46,60,67
55,66,64
19,45,11
37,51,41
23,62,86
55,92,39
33,51,5
35,47,72
51,71,28
89,90,40
73,81,36
48,86,47
38,63,57
63,69,3
72,87,38
54,67,34
87,90,74
18,52,23
65,69,2
21,73,43
10,22,52
24,52,17
21,30,12
15,16,24
34,55,66
35,45,57
93,96,37
47,73,56
76,79,87
13,28,8
57,77,20
10,21,21
49,63,68
49,52,15
21,37,73
12,23,73
24,28,8
3,44,57
61,74,3
63,71,86
8,9,22
3,47,98
2,7,48
60,65,5
33,69,23
3,11,91
27,93,76
76,83,30
29,30,10
1,46,52
74,78,6
26,35,41
12,21,36
52,54,0
71,90,98
5,15,14
15,72,53
60,73,58
12,48,89
18,34,56
37,57,81
36,56,73
49,70,25
63,70,40
84,90,0
55,78,84
82,87,29
44,67,64
55,56,6
82,90,36
14,37,39
9,42,26
4,11,54
