Node1,Node2,Weight
10,11,26
3,5,52
34,36,89
22,24,94
31,33,50
2,4,95
44,46,44
25,27,68
14,15,14
3,4,10
15,17,88
20,21,98
12,14,64
32,33,13
35,37,80
33,35,21
37,39,50
36,38,22
17,19,25
38,39,43
39,41,56
18,19,40
22,23,52
11,13,30
30,32,12
46,48,75
21,23,60
2,6,55
13,14,89
11,12,44
0,2,43
38,40,56
45,46,96
1,2,31
35,36,35
24,25,23
29,31,3
21,22,45
6,7,31
32,34,38
43,44,92
43,45,94
17,18,69
27,29,52
19,21,76
4,5,37
4,6,47
6,8,71
42,43,60
1,3,32
7,8,78
2,3,45
15,16,55
36,37,25
8,10,37
25,26,39
41,42,10
40,41,88
5,9,32
5,6,88
30,31,98
26,27,73
34,35,35
31,32,52
33,34,93
12,13,38
46,47,9
19,20,32
9,11,56
8,9,13
48,49,65
41,43,2
42,44,8
0,1,93
13,15,56
28,29,96
39,40,89
23,24,66
27,28,21
18,20,65
37,38,31
2,5,70
9,10,46
23,25,67
45,48,28
10,12,60
7,9,31
26,28,5
47,49,48
47,48,80
29,30,1
44,45,93
24,26,18
14,16,28
16,18,54
5,7,10
45,47,5
40,42,64
20,22,41
16,17,91
28,30,46
