Node1,Node2,Weight
68,72,63
32,41,16
104,106,58
4,10,19
48,60,97
30,39,16
71,86,26
35,37,75
60,61,38
65,75,54
35,38,83
25,38,43
44,48,61
104,107,21
48,58,95
3,17,57
139,142,81
33,39,58
100,103,9
83,85,42
115,128,90
115,117,67
39,45,42
67,72,12
145,148,28
40,48,47
16,20,85
19,30,86
120,126,3
103,118,51
108,110,11
30,33,93
119,121,18
128,130,68
110,123,12
126,131,31
61,64,91
76,81,72
62,66,68
32,42,1
128,135,24
110,111,10
13,19,53
125,131,32
92,107,63
8,14,22
61,62,53
10,26,53
73,78,84
137,140,93
16,18,64
57,71,14
97,111,39
123,125,59
128,141,30
46,57,87
106,108,81
63,71,86
119,120,30
41,52,7
52,61,76
34,40,55
90,92,80
127,139,54
112,114,38
89,92,21
94,96,14
80,88,86
79,84,57
46,50,72
68,71,84
94,100,15
38,53,1
117,124,55
104,105,53
107,112,84
38,40,55
106,110,19
128,131,17
24,25,97
42,55,26
132,136,94
44,45,27
13,15,63
140,147,45
52,60,9
69,80,93
98,99,28
65,70,68
138,142,86
143,149,6
130,144,20
18,23,100
43,44,92
60,71,91
38,48,91
68,70,76
50,54,86
21,29,4
141,146,70
32,47,6
63,66,86
81,82,99
59,70,75
32,39,91
62,64,76
43,48,26
81,87,33
86,93,6
116,119,85
30,35,53
30,31,66
48,51,9
63,74,33
86,95,88
142,147,14
59,63,61
31,42,63
125,129,71
78,80,46
45,47,95
43,53,43
93,100,67
94,99,37
135,144,23
72,76,8
20,42,35
113,119,86
31,37,1
101,107,83
38,44,46
82,86,91
47,57,96
90,97,66
124,134,58
55,59,58
2,12,13
131,136,30
22,26,47
29,37,4
129,134,58
38,51,57
129,131,37
120,129,20
60,62,75
113,115,42
18,20,56
31,33,76
115,116,84
107,120,51
70,75,18
122,131,28
97,108,71
105,116,64
51,53,86
29,35,21
132,138,18
80,87,95
15,26,11
69,76,49
124,131,5
101,105,4
116,120,0
63,70,7
67,73,94
51,52,75
23,27,78
111,121,39
58,61,17
69,79,12
39,48,42
63,65,59
22,24,22
141,147,8
50,57,10
34,37,11
56,57,99
26,27,38
56,65,61
11,19,10
104,116,13
60,64,84
100,101,88
112,115,59
125,126,0
38,39,17
142,146,17
67,80,53
108,128,15
11,14,53
133,145,92
9,12,46
23,30,51
49,56,19
1,3,1
17,26,96
7,16,89
77,89,4
84,85,81
91,94,72
78,81,16
85,88,5
50,67,72
105,107,50
15,22,89
98,102,28
58,62,84
4,19,65
90,95,74
40,49,35
127,130,96
111,113,72
78,89,67
100,116,4
17,25,93
62,63,59
1,8,52
82,85,7
4,8,75
74,79,65
4,13,15
39,40,17
45,54,37
41,46,90
89,90,4
93,94,42
140,145,41
29,40,58
66,72,74
84,94,27
119,128,59
99,113,92
97,98,29
104,115,0
61,66,15
3,6,30
14,26,31
117,125,73
66,71,26
40,41,87
110,127,98
99,102,77
16,19,85
65,72,21
71,78,28
97,107,50
15,19,58
24,27,30
62,67,53
31,35,96
13,27,63
60,63,30
48,49,74
100,109,18
102,103,60
127,129,77
126,132,14
89,93,91
27,30,16
69,71,6
3,7,5
91,93,20
62,68,17
50,60,36
49,51,63
19,22,87
101,113,29
4,14,3
26,28,43
117,121,55
112,125,1
102,105,76
78,88,26
12,14,9
69,72,68
17,19,7
83,84,50
132,134,7
122,126,100
24,30,4
134,137,4
43,47,55
61,65,89
71,72,82
52,58,43
80,91,58
114,122,7
26,35,37
7,8,98
101,111,17
79,80,87
69,78,37
97,106,8
49,50,12
8,11,97
130,131,35
55,61,71
114,120,32
125,134,62
61,69,26
121,128,35
8,13,36
7,11,27
17,24,7
49,55,70
84,91,15
66,67,7
139,140,11
131,140,78
124,133,63
22,23,49
128,132,80
140,141,58
116,127,68
54,60,0
66,75,59
137,142,6
5,7,6
15,27,20
76,83,66
129,130,84
20,24,77
1,4,41
78,79,96
51,67,41
4,16,61
5,12,21
109,118,56
125,133,44
126,135,34
19,37,3
123,130,28
111,118,26
121,123,47
99,105,26
119,134,57
87,91,18
42,54,74
15,18,20
60,66,83
29,31,95
134,141,30
130,138,46
135,138,45
129,137,72
26,32,68
59,62,71
52,66,68
106,115,13
31,32,80
144,147,27
116,129,95
130,134,24
53,59,64
12,25,59
25,32,94
33,43,92
34,35,62
123,133,64
22,29,95
48,53,13
43,52,3
28,36,43
127,128,36
102,110,60
110,118,69
46,54,31
62,65,20
68,69,7
25,35,17
97,104,51
72,75,54
37,41,100
81,83,22
119,123,79
2,7,100
4,20,11
42,53,69
100,106,10
51,58,66
107,109,76
102,111,27
6,17,41
117,119,64
47,53,36
15,20,57
99,106,64
3,8,15
0,22,55
126,128,33
43,49,30
138,146,35
38,43,92
135,139,94
71,76,88
138,141,27
143,145,43
67,69,0
112,121,32
116,133,90
111,114,49
16,17,49
29,49,37
88,91,79
88,96,10
125,128,13
104,123,30
124,130,58
28,34,9
2,9,21
32,33,72
58,60,100
146,149,8
11,17,13
6,7,82
30,36,12
65,69,81
10,36,66
128,129,4
93,96,24
