Node1,Node2,Weight
61,62,64
22,24,3
80,82,34
36,38,13
51,52,77
31,32,78
56,58,86
81,83,86
43,45,59
76,77,69
4,5,45
37,39,60
60,62,15
79,80,19
25,27,82
13,15,35
48,50,87
94,95,87
69,71,91
88,90,94
6,7,20
23,24,49
57,58,94
20,23,7
38,40,89
64,65,97
76,78,74
50,51,15
86,88,58
46,48,59
12,13,50
9,11,76
82,84,41
35,36,85
68,70,13
44,45,86
72,74,83
54,55,78
90,92,7
61,63,95
69,70,83
26,28,28
71,73,73
85,87,2
66,68,57
92,93,46
52,54,69
29,31,32
48,49,66
18,19,92
82,83,74
80,83,33
73,75,10
88,91,19
22,23,31
55,57,23
77,79,38
1,2,88
17,19,78
14,16,35
24,26,86
34,37,44
30,32,81
57,60,77
15,17,46
10,12,86
97,99,1
18,20,80
37,38,44
8,9,27
77,78,46
3,4,2
20,22,57
21,22,46
11,12,38
59,61,96
66,67,100
63,64,96
78,80,73
89,90,32
53,55,10
36,39,3
85,88,95
67,68,65
83,85,70
38,41,86
7,9,46
93,94,54
52,53,20
21,23,65
8,10,90
20,21,87
96,98,63
98,99,40
33,35,80
42,44,32
4,6,14
91,93,16
40,42,54
25,26,42
28,30,34
17,18,41
75,76,42
88,89,78
77,80,63
58,59,10
63,65,8
55,56,90
62,64,23
28,29,59
49,50,53
7,8,60
53,54,63
2,4,6
26,27,92
30,31,8
13,14,12
53,56,5
84,85,40
46,49,99
39,41,25
36,37,54
97,98,70
91,94,29
95,96,52
83,84,70
16,17,33
16,18,50
65,67,49
70,71,34
42,43,75
74,76,5
64,66,67
3,5,83
11,13,79
0,1,1
31,33,15
79,81,40
93,95,62
84,86,65
27,28,38
96,97,79
57,59,36
34,35,89
50,52,36
33,34,82
2,3,21
24,25,9
62,63,62
1,3,17
41,42,66
9,10,49
39,40,46
6,8,47
34,36,58
86,87,5
0,2,92
45,47,51
5,7,83
23,25,3
46,47,31
29,30,15
51,53,94
75,77,66
70,72,14
40,41,38
90,91,30
60,61,91
10,11,30
72,73,32
27,29,40
92,94,10
68,69,75
19,20,75
94,96,7
15,16,86
87,89,25
44,46,57
95,97,68
45,46,58
59,60,67
32,34,25
43,44,69
80,81,45
19,21,38
38,39,80
56,57,37
12,14,12
47,49,33
14,15,34
41,43,87
73,74,31
35,37,48
71,72,16
93,96,80
89,91,95
41,44,56
47,48,93
49,51,57
54,56,53
51,54,59
81,82,22
67,69,83
74,75,45
91,92,99
32,33,23
67,70,70
87,88,41
60,63,0
65,66,87
85,86,52
58,60,87
78,79,9
5,6,49
