Node1,Node2,Weight
114,116,35
101,104,77
7,8,60
147,148,18
188,189,59
112,115,50
85,86,29
9,10,8
191,195,72
190,192,93
66,69,14
5,7,67
13,15,51
169,170,57
62,63,69
154,155,10
33,34,34
13,16,96
117,119,33
169,173,47
36,37,46
96,98,2
133,134,89
60,63,45
94,95,64
26,28,67
81,83,50
109,110,92
48,49,34
175,178,39
142,144,14
34,37,6
121,122,76
137,138,83
124,128,9
41,45,49
129,131,81
122,124,9
139,140,87
36,38,34
93,96,31
156,157,42
143,146,21
136,140,6
159,160,38
37,40,61
135,136,86
127,128,35
32,33,95
42,43,40
148,149,61
66,67,60
0,4,28
128,130,88
103,104,63
28,31,39
73,75,70
22,23,46
171,173,56
148,150,58
14,15,98
33,36,82
164,165,20
8,9,68
19,22,46
97,99,46
168,172,93
151,153,74
22,24,68
84,85,49
136,139,73
159,161,41
149,151,7
175,177,94
17,18,51
121,125,0
185,186,56
120,122,68
80,85,51
23,27,50
198,199,50
135,139,77
116,117,61
140,142,32
143,145,74
29,31,29
29,30,49
162,165,33
128,129,88
171,174,15
83,86,41
107,109,33
25,26,37
120,121,38
178,179,0
19,21,64
64,65,21
125,127,65
68,69,8
18,21,28
55,59,30
172,173,81
19,20,44
