Node1,Node2,Weight
34,38,19
124,134,71
52,53,0
124,130,47
31,35,55
87,95,42
54,57,89
109,114,35
82,83,89
47,54,44
96,102,8
136,149,39
72,79,97
41,44,30
25,31,11
94,99,6
38,50,23
74,82,72
33,36,42
142,143,21
84,90,98
33,35,99
21,26,15
29,38,44
34,35,27
40,44,16
23,29,96
115,129,51
59,69,83
24,33,3
22,29,37
59,63,48
107,110,87
38,39,1
143,144,81
92,110,85
84,95,89
57,65,61
104,114,60
60,70,6
58,62,57
91,101,18
51,59,92
75,84,70
73,76,57
123,126,27
93,99,51
59,60,5
123,125,96
81,85,28
21,31,17
0,13,100
123,124,85
33,40,9
123,138,88
73,86,75
124,127,52
91,111,38
131,139,56
133,136,21
95,101,90
24,27,22
8,18,87
48,51,26
38,49,79
7,18,15
61,65,11
33,39,90
46,55,82
92,95,41
26,31,26
67,76,77
32,34,75
132,149,55
112,113,9
84,87,64
139,143,13
39,51,50
9,10,41
16,18,21
54,56,65
77,80,25
62,66,71
54,65,41
119,129,53
134,140,54
31,39,85
94,96,94
32,37,30
19,32,97
100,103,85
1,3,51
12,16,98
62,65,89
13,32,2
72,87,31
115,131,43
92,112,24
32,36,9
59,64,12
30,33,25
108,112,56
94,97,73
124,126,92
11,16,44
69,72,8
65,69,32
30,35,16
94,101,15
8,19,2
103,116,11
98,99,82
1,9,85
68,70,24
1,4,16
123,133,2
13,16,27
60,68,69
136,146,57
52,55,82
45,48,36
17,21,71
86,90,13
70,78,43
19,23,54
93,102,60
71,82,65
137,141,99
49,58,75
105,116,28
44,47,89
120,127,33
10,17,1
28,29,78
36,42,18
6,8,10
37,47,92
6,11,19
9,14,22
141,144,90
102,117,93
4,17,46
127,136,42
134,144,49
135,136,17
108,120,16
24,30,85
34,43,60
73,74,95
63,77,0
147,148,71
89,92,66
58,70,65
133,134,50
85,89,26
120,123,45
23,24,71
29,46,83
1,10,67
6,12,12
48,58,64
2,9,71
63,67,3
91,107,97
135,143,49
86,89,58
145,146,41
132,135,20
32,39,24
117,125,0
80,84,0
21,27,37
94,105,71
90,96,52
52,61,53
76,77,76
88,102,48
144,145,43
17,19,59
25,33,99
9,28,45
126,129,79
96,100,79
58,69,29
60,62,74
139,142,0
101,105,77
33,48,60
30,36,100
104,124,74
85,95,98
14,16,61
10,15,26
43,51,67
118,129,77
79,88,2
115,121,60
38,48,58
146,149,90
28,35,26
60,72,15
54,68,77
40,49,36
94,104,12
18,20,9
121,134,36
81,89,89
60,61,53
120,132,98
7,9,97
80,89,62
43,56,42
4,14,38
113,116,67
89,114,80
103,105,78
28,43,37
80,81,34
42,43,28
117,122,66
110,113,22
9,16,62
107,112,35
14,18,83
61,64,93
129,134,63
9,21,67
7,13,94
100,113,94
24,39,73
131,132,1
66,69,7
36,38,79
2,3,61
13,18,55
7,17,33
46,52,42
70,73,100
82,98,13
60,76,4
116,123,34
74,89,49
119,123,5
88,96,41
82,84,51
114,129,75
55,64,87
141,146,54
88,98,60
32,44,36
66,73,56
92,98,54
24,29,57
37,40,85
101,104,84
118,123,58
107,120,47
119,122,78
35,43,14
144,149,28
9,15,93
1,5,69
26,28,81
135,140,51
103,113,95
91,94,19
5,8,42
10,11,65
135,138,82
126,135,91
74,90,10
11,18,97
54,55,35
135,148,26
53,60,72
68,72,92
144,146,64
51,60,60
7,8,89
77,85,68
82,86,67
78,83,20
95,100,14
48,50,12
125,136,66
17,20,74
133,146,60
62,67,49
111,116,80
76,79,34
97,103,77
67,75,5
25,29,79
112,126,28
118,124,86
48,54,20
52,57,72
57,66,48
58,63,86
108,113,46
123,139,70
100,118,58
69,74,32
84,94,64
67,72,27
119,130,47
51,62,22
35,45,91
20,22,8
91,95,11
22,43,68
119,121,76
97,98,52
143,147,90
115,116,81
0,5,13
38,44,95
93,96,15
134,149,16
107,109,91
137,149,20
68,81,22
53,57,73
29,32,7
44,45,42
102,106,28
43,49,44
112,117,90
97,108,1
38,45,28
47,50,70
96,97,9
104,109,84
10,16,80
107,108,41
86,96,94
39,46,76
93,98,78
48,60,53
136,140,40
23,34,12
5,19,48
103,109,50
133,135,28
81,86,19
53,55,61
65,68,83
23,28,65
47,49,68
121,124,68
64,67,79
49,50,55
4,8,53
92,105,62
114,119,27
35,39,51
29,31,31
138,142,99
121,123,10
2,8,55
88,95,38
66,67,18
73,82,85
139,145,76
89,99,35
70,83,8
80,90,30
50,60,70
125,126,90
116,119,68
103,108,85
117,123,28
83,84,13
134,139,30
73,77,52
84,86,28
117,118,35
55,58,35
50,59,1
6,9,84
108,119,0
77,78,66
54,59,66
137,138,87
128,130,52
10,21,63
22,35,3
101,103,53
64,65,87
81,82,63
53,68,19
1,13,76
124,125,50
106,110,76
56,58,85
66,68,49
8,20,64
38,40,11
107,115,20
131,148,2
90,95,65
79,81,58
67,68,24
61,63,94
105,109,65
31,36,65
113,119,12
143,145,43
3,4,66
112,121,62
15,23,57
80,82,79
74,76,77
105,117,6
79,94,10
136,139,3
95,105,7
77,87,54
110,121,5
76,78,17
89,94,51
9,17,93
44,59,60
133,147,17
87,91,34
23,30,46
19,28,11
29,40,52
42,52,100
22,25,24
34,45,75
58,65,28
40,54,47
85,86,43
86,88,90
102,107,49
70,82,8
34,55,10
49,55,20
104,110,98
15,19,17
70,71,27
108,114,0
22,37,34
33,43,71
118,121,86
48,52,11
80,83,20
32,40,70
33,34,83
18,31,81
68,78,78
114,131,88
50,51,70
87,88,78
61,67,14
11,35,82
140,147,75
23,33,4
98,108,36
118,120,14
83,92,80
117,121,42
85,91,73
12,18,7
30,32,12
123,128,70
18,25,12
66,78,55
141,148,33
19,21,45
56,59,94
125,128,48
113,114,98
19,20,7
18,32,40
104,106,25
51,58,36
43,50,66
53,64,26
89,93,80
8,17,36
91,96,21
46,54,28
6,7,54
64,71,76
72,73,21
58,59,34
51,54,67
9,25,71
16,27,60
66,76,46
132,145,100
62,69,23
90,92,94
28,40,79
48,63,99
128,134,39
67,79,59
130,131,22
8,14,75
82,103,57
82,97,97
53,65,10
51,65,75
106,107,60
138,143,64
129,140,55
73,75,92
24,28,48
22,24,25
47,52,63
80,85,19
25,27,99
55,56,27
15,17,69
56,57,55
126,128,42
57,63,87
95,113,35
41,50,37
67,71,76
116,130,42
57,62,49
85,87,47
37,49,67
90,99,3
18,21,6
28,34,14
1,14,98
59,65,72
124,136,50
4,11,57
79,85,41
112,119,30
38,52,22
114,116,26
5,10,64
40,42,62
49,67,36
34,39,21
49,57,69
20,30,13
82,90,0
56,68,47
8,13,43
125,144,87
77,83,74
28,42,48
16,17,1
78,85,73
28,32,71
135,137,40
57,61,99
86,103,17
92,96,28
83,90,79
11,27,54
49,52,39
27,34,66
100,107,28
9,19,29
112,116,6
122,126,53
96,103,0
60,66,57
101,102,21
109,110,58
72,84,52
108,111,86
61,62,45
117,126,25
90,111,86
75,87,16
24,38,84
53,67,40
61,68,37
79,86,4
59,74,0
56,64,93
31,37,53
25,26,24
111,113,15
41,43,69
74,83,63
97,101,11
37,38,20
82,93,62
16,26,91
79,87,47
114,115,6
94,95,99
41,45,14
139,148,81
92,94,1
64,69,19
8,26,43
33,37,36
20,24,19
74,77,8
5,14,93
60,65,68
129,131,58
13,15,44
86,97,19
0,1,53
132,137,21
138,146,83
104,105,80
85,94,17
30,37,94
90,98,23
64,77,69
11,21,9
121,122,89
21,34,62
83,87,14
132,143,77
39,42,3
37,42,15
75,79,44
84,88,18
70,76,44
47,58,68
98,105,100
116,122,15
134,135,3
116,127,4
145,147,69
74,88,14
101,106,86
52,59,21
44,48,6
120,139,57
77,82,4
47,48,55
100,117,55
72,93,54
36,43,41
57,60,18
123,127,80
12,14,9
62,64,58
74,86,90
139,146,16
131,133,37
99,100,25
121,127,80
147,149,14
81,90,67
100,109,20
126,146,57
127,137,82
65,73,41
122,124,4
88,89,89
22,33,86
61,66,23
122,127,67
57,67,41
84,92,60
122,129,46
103,111,15
4,6,77
2,5,8
128,137,56
45,51,89
33,51,9
127,139,4
44,53,99
31,34,33
40,45,53
100,101,75
116,120,80
30,41,41
35,37,28
89,91,73
82,91,71
4,13,64
28,30,53
30,40,82
18,28,43
125,133,18
111,112,95
65,66,16
51,66,89
86,91,30
17,28,83
1,6,79
77,90,17
34,36,59
12,13,5
60,71,13
140,143,26
36,45,90
111,120,32
141,142,18
76,80,44
140,141,35
3,9,49
12,15,48
134,143,45
16,22,68
44,49,79
82,94,28
15,24,88
115,120,96
98,101,62
138,141,21
125,134,94
98,102,14
33,38,76
12,19,56
84,89,16
138,145,94
129,136,57
88,94,10
91,92,9
49,51,19
142,146,31
110,112,4
43,46,37
113,127,16
0,7,88
129,137,99
140,149,86
13,17,40
87,92,20
6,10,92
69,75,67
67,69,35
46,56,49
42,49,21
141,149,44
3,5,76
42,45,87
46,53,35
140,148,47
21,23,38
63,70,34
51,55,18
71,76,33
89,106,21
13,19,15
94,100,88
69,76,15
134,136,60
0,4,2
0,9,99
5,9,9
148,149,53
27,30,81
61,70,57
95,102,96
139,140,36
52,56,49
52,62,42
120,121,5
75,82,55
26,36,58
20,21,77
71,73,27
83,88,88
29,43,81
123,129,11
5,12,58
69,80,50
37,39,73
109,119,41
62,63,77
12,23,1
19,26,2
135,145,35
118,136,79
54,71,8
75,83,86
89,90,43
17,18,94
17,25,61
9,11,87
12,17,39
124,128,16
131,135,2
14,24,42
14,25,34
70,72,8
69,73,83
113,117,43
54,76,30
131,134,14
55,63,69
84,97,64
53,70,73
65,78,50
13,14,1
28,31,91
53,54,78
49,53,67
50,61,88
16,21,71
15,28,31
128,141,35
111,115,30
88,93,31
115,122,49
120,122,75
96,101,53
27,28,8
129,132,73
100,105,100
18,26,74
64,76,89
92,97,96
51,53,27
40,43,85
129,147,12
116,121,19
68,75,82
52,54,70
7,16,75
103,110,96
121,125,16
92,93,48
3,8,84
57,72,97
23,31,79
23,38,53
121,130,38
43,54,63
98,100,95
117,131,59
105,112,28
82,85,81
31,32,31
30,38,65
64,70,8
127,129,97
61,73,63
31,33,0
78,91,83
52,58,85
146,148,11
39,45,57
65,72,0
143,149,58
91,99,61
121,129,63
109,112,37
98,107,80
81,93,74
119,120,75
45,46,73
105,108,84
99,101,0
50,53,57
84,96,8
3,12,60
108,109,90
145,149,33
54,60,2
92,106,3
24,25,24
129,130,24
86,87,48
136,137,86
130,133,19
2,7,85
34,44,4
19,24,46
43,47,54
94,110,88
55,59,9
23,27,35
96,107,97
57,64,86
74,87,90
89,95,1
25,36,55
54,70,35
85,90,0
78,86,36
76,82,19
126,131,51
118,122,68
99,105,9
39,47,93
82,87,21
124,131,62
128,131,44
134,137,95
66,70,5
119,127,94
127,132,43
18,33,43
127,130,55
110,115,88
71,74,42
126,130,55
109,116,61
129,133,83
90,103,81
35,38,45
1,2,38
130,135,13
98,109,67
59,66,60
23,35,22
39,40,48
116,118,57
116,124,75
44,50,55
42,50,25
116,129,4
11,17,39
71,78,43
73,98,45
42,61,38
141,145,67
109,117,99
127,128,56
128,132,79
123,131,40
79,82,68
20,26,78
58,66,1
79,80,95
94,98,68
124,133,4
93,101,80
79,83,90
106,109,26
59,62,0
19,22,6
42,47,33
101,118,48
106,111,83
56,65,60
75,77,55
34,54,65
71,77,73
25,30,44
65,67,29
73,80,30
17,23,46
38,43,93
135,139,89
46,49,24
87,98,25
95,96,59
101,109,96
69,81,22
40,48,31
76,86,13
103,104,33
108,110,76
12,36,46
27,36,5
58,61,84
46,48,9
35,36,86
40,41,73
8,11,29
69,78,40
45,47,65
123,130,12
112,115,97
124,129,60
15,22,50
50,54,31
124,146,82
121,142,81
58,67,70
120,131,34
41,53,65
7,12,81
21,33,84
105,110,3
105,106,59
106,118,97
7,10,65
1,8,35
9,12,40
32,35,52
118,125,55
67,74,43
126,144,36
77,79,63
74,75,99
2,19,94
114,120,86
7,11,8
4,5,31
56,62,20
144,148,4
98,131,3
83,86,67
15,18,17
108,116,30
75,76,100
139,141,78
67,70,49
58,64,3
134,142,96
72,77,22
48,49,76
36,46,20
77,81,0
130,134,63
69,84,42
35,44,89
57,58,89
115,117,4
71,79,65
5,7,17
19,30,13
91,98,42
62,68,31
102,104,79
142,144,61
57,69,13
114,122,66
27,31,76
137,139,29
38,41,4
41,42,12
140,145,30
145,148,48
101,107,37
133,141,67
37,41,57
132,133,48
81,96,58
139,144,5
101,110,97
137,140,40
18,19,91
43,45,66
59,77,61
110,114,76
9,13,71
94,102,84
36,40,27
96,108,85
77,86,2
99,116,72
87,101,75
114,118,85
93,100,24
90,94,86
87,89,16
6,15,96
42,48,44
122,125,4
0,2,65
111,129,59
99,102,69
49,54,92
87,93,18
27,29,81
38,46,55
20,27,88
87,90,33
102,110,14
4,9,25
140,144,74
124,139,93
26,29,34
115,119,15
97,104,76
97,100,75
123,134,38
128,129,51
93,97,37
121,128,20
98,103,23
63,65,86
32,33,81
101,113,83
68,74,52
140,142,63
21,25,0
14,15,69
91,100,11
21,22,15
68,71,65
102,112,16
85,97,55
100,104,77
66,71,12
124,132,42
19,27,53
8,9,29
29,36,64
11,19,75
34,37,25
127,138,29
8,12,62
22,23,59
51,70,18
85,96,6
104,108,71
2,26,72
133,139,60
79,84,90
59,76,88
87,96,68
110,118,38
42,44,52
70,74,83
69,77,45
39,49,55
33,44,57
52,63,29
36,44,64
0,8,29
55,57,9
138,140,49
90,91,91
17,27,39
139,147,90
122,139,24
8,15,100
46,47,80
136,141,66
36,48,70
29,35,1
119,126,61
39,41,71
45,56,45
65,70,83
115,125,60
101,108,25
78,79,30
88,91,36
142,147,24
91,102,62
24,35,21
104,111,72
99,103,78
132,141,86
95,106,50
143,148,0
115,127,95
54,67,38
30,34,10
113,121,45
64,66,59
122,123,60
79,91,96
102,109,22
75,78,19
21,24,17
53,56,1
15,21,55
100,106,10
26,27,89
88,104,45
61,69,59
95,97,84
83,89,99
78,81,12
90,101,80
22,30,76
109,120,33
71,72,80
5,16,6
26,30,80
109,111,66
105,107,11
45,50,91
97,102,93
44,51,48
20,25,10
40,47,74
71,75,78
73,95,86
130,132,27
100,108,84
53,58,16
92,100,34
138,147,46
108,115,41
48,53,7
64,68,40
127,131,63
31,38,96
29,33,78
56,63,13
92,101,13
18,29,56
81,83,73
50,55,55
93,94,71
125,127,36
120,124,96
60,63,46
100,112,77
53,62,25
57,59,8
2,13,40
30,31,22
16,33,2
42,46,41
10,13,84
106,108,24
61,72,89
122,134,39
80,99,52
36,37,18
50,63,56
107,111,65
115,118,40
120,125,14
13,20,72
136,144,30
19,33,86
83,85,20
12,22,44
0,12,28
10,12,18
111,114,17
13,22,90
146,147,89
75,80,59
96,98,57
64,80,69
126,132,99
